number,value,datetime_start,datetime_complete,duration,params_mutation_rate,params_population_size,params_stagnation_k,state
0,67064617.12,34:43.7,07:21.9,0 days 00:32:38.220962,0.145071431,103,25,COMPLETE
1,66341057.66,07:22.0,22:24.4,0 days 00:15:02.472600,0.065601864,120,13,COMPLETE
2,67019438.73,22:24.4,34:54.4,0 days 00:12:29.947119,0.136617615,79,22,COMPLETE
3,64391227.91,34:54.4,00:28.4,0 days 00:25:34.076723,0.052058449,128,30,COMPLETE
4,70328307.31,00:28.4,14:05.7,0 days 00:13:37.274417,0.071233911,138,13,COMPLETE
5,67895164.97,14:05.7,26:28.6,0 days 00:12:22.886671,0.080424224,88,21,COMPLETE
6,64678009.52,26:28.6,44:34.0,0 days 00:18:05.436716,0.079122914,107,22,COMPLETE
7,67103012.94,44:34.0,58:03.0,0 days 00:13:28.993882,0.079214465,85,17,COMPLETE
8,71690511.39,58:03.0,09:18.6,0 days 00:11:15.527913,0.128517596,109,14,COMPLETE
9,74881891.36,09:18.6,17:07.9,0 days 00:07:49.364859,0.109241457,114,10,COMPLETE
10,64186532.64,17:07.9,08:04.0,0 days 00:50:56.009603,0.050599718,148,30,COMPLETE
11,64834212.86,08:04.0,29:41.6,0 days 00:21:37.662981,0.050813627,145,29,COMPLETE
12,64075203.7,29:41.6,49:32.7,0 days 00:19:51.070540,0.05060987,131,30,COMPLETE
13,62471815.94,49:32.7,12:15.5,0 days 00:22:42.854881,0.062449837,150,27,COMPLETE
14,67824109.96,12:15.5,26:37.1,0 days 00:14:21.551241,0.093435627,133,26,COMPLETE
15,64956428.74,26:37.1,40:57.7,0 days 00:14:20.560433,0.065185356,141,26,COMPLETE
16,64466814.35,40:57.7,54:17.4,0 days 00:13:19.750122,0.096387067,124,27,COMPLETE
17,65242791.61,54:17.4,08:48.0,0 days 00:14:30.615448,0.065655459,150,24,COMPLETE
18,64466817.15,08:48.0,25:13.9,0 days 00:16:25.852508,0.058908538,133,28,COMPLETE
19,69568769.24,25:13.9,34:49.6,0 days 00:09:35.764110,0.096048741,137,19,COMPLETE
20,65805742.46,34:49.6,46:25.0,0 days 00:11:35.369319,0.109127673,98,24,COMPLETE
21,64570891.9,46:25.0,03:20.6,0 days 00:16:55.571779,0.052079102,150,30,COMPLETE
22,64734275.34,03:20.6,20:51.7,0 days 00:17:31.072518,0.059236642,146,28,COMPLETE
23,63899543.95,20:51.7,37:00.0,0 days 00:16:08.320672,0.072630561,143,30,COMPLETE
24,65115626.65,37:00.0,51:34.0,0 days 00:14:34.029508,0.074624919,129,28,COMPLETE
25,65310297.36,51:34.0,07:12.0,0 days 00:15:38.005277,0.085440285,141,27,COMPLETE
26,65085225.5,07:12.0,22:12.8,0 days 00:15:00.810766,0.059975983,119,30,COMPLETE
27,63880059.94,22:12.8,37:10.1,0 days 00:14:57.254733,0.088426298,134,24,COMPLETE
28,64571167.3,37:10.1,51:10.9,0 days 00:14:00.767564,0.090484338,142,23,COMPLETE
29,64601999.78,51:10.9,06:47.7,0 days 00:15:36.844206,0.112932867,135,25,COMPLETE
30,68745297.7,06:47.7,15:57.1,0 days 00:09:09.423485,0.086898753,125,20,COMPLETE
31,65008566.54,15:57.1,28:23.8,0 days 00:12:26.707521,0.06942407,132,26,COMPLETE
32,63980706.77,28:23.8,45:51.2,0 days 00:17:27.373788,0.100749176,143,28,COMPLETE
33,67495466.62,45:51.2,00:13.3,0 days 00:14:22.044875,0.102973283,143,25,COMPLETE
34,64599000.2,00:13.3,16:13.5,0 days 00:16:00.249175,0.116779245,137,28,COMPLETE
35,64839604.95,16:13.5,33:42.6,0 days 00:17:29.141894,0.098510541,145,24,COMPLETE
36,62706988.28,33:42.6,49:33.5,0 days 00:15:50.870734,0.083661867,140,27,COMPLETE
37,66850547.53,49:33.5,01:46.5,0 days 00:12:13.011232,0.083086721,126,22,COMPLETE
38,65560788.31,01:46.5,16:41.3,0 days 00:14:54.766003,0.075454563,139,27,COMPLETE
39,66637865.11,16:41.3,26:39.4,0 days 00:09:58.063779,0.143627101,119,23,COMPLETE
40,66372243.12,26:39.4,37:14.6,0 days 00:10:35.237352,0.073083641,137,18,COMPLETE
41,63695792.36,37:14.6,54:09.4,0 days 00:16:54.825909,0.101735257,146,29,COMPLETE
42,66241817.7,54:09.4,20:49.5,0 days 00:26:40.092900,0.08724782,147,29,COMPLETE
43,68439405.82,20:49.5,40:06.7,0 days 00:19:17.137978,0.123191694,150,26,COMPLETE
44,62683485.66,40:06.7,02:14.1,0 days 00:22:07.458412,0.079406432,141,29,COMPLETE
45,64490737.92,02:14.1,14:34.0,0 days 00:12:19.865713,0.105377864,139,27,COMPLETE
46,65513301.16,14:34.0,34:48.6,0 days 00:20:14.591535,0.078122129,129,29,COMPLETE
47,70966172.87,34:48.6,45:17.8,0 days 00:10:29.204844,0.09145784,135,15,COMPLETE
48,67088235.85,45:17.8,19:52.8,0 days 00:34:35.043967,0.081209473,147,29,COMPLETE
49,65518042.18,19:52.8,35:05.1,0 days 00:15:12.298968,0.066434365,96,26,COMPLETE
50,65791765.79,35:05.1,53:13.1,0 days 00:18:07.929583,0.090681916,122,25,COMPLETE
51,66166379.86,53:13.1,12:40.4,0 days 00:19:27.355721,0.079024897,144,29,COMPLETE
52,63417872.34,12:40.4,26:24.3,0 days 00:13:43.890572,0.071674821,77,30,COMPLETE
53,72902135.62,26:24.3,33:27.6,0 days 00:07:03.241899,0.061383214,84,10,COMPLETE
54,64622802.12,33:27.6,54:18.8,0 days 00:20:51.215035,0.068863543,77,27,COMPLETE
55,65447939.63,54:18.8,30:16.3,0 days 00:35:57.573427,0.082979174,82,30,COMPLETE
56,65963815.19,30:16.3,10:17.3,0 days 00:40:00.937922,0.09486144,90,28,COMPLETE
57,66984730.89,10:17.3,45:01.5,0 days 00:34:44.170408,0.056357932,105,21,COMPLETE
58,66236849.32,45:01.5,48:27.7,0 days 01:03:26.249906,0.077310047,148,29,COMPLETE
59,64263528.79,48:27.7,18:11.0,0 days 00:29:43.291894,0.063322821,111,27,COMPLETE
