number,value,datetime_start,datetime_complete,duration,params_mutation_rate,params_population_size,params_stagnation_k,user_attrs_best_fitness,user_attrs_completed_seed_runs,user_attrs_june_new_algo_30trials_seed_42_fitness,user_attrs_june_new_algo_30trials_seed_43_fitness,user_attrs_june_new_algo_30trials_seed_44_fitness,user_attrs_mean_fitness,user_attrs_mean_june_new_algo_30trials_fitness,user_attrs_std_fitness,user_attrs_worst_fitness,state
0,-0.24201506661549257,2026-07-09 09:59:33.924618,2026-07-09 10:09:37.647586,0 days 00:10:03.722968,0.14310000289738825,125,47,-0.2515845744262727,3,-0.23280757375770372,-0.24165305166250134,-0.2515845744262727,-0.24201506661549257,-0.24201506661549257,0.007669951309993294,-0.23280757375770372,COMPLETE
1,-0.23171652431330328,2026-07-09 10:09:37.710645,2026-07-09 10:22:38.350415,0 days 00:13:00.639770,0.031842609661941114,170,17,-0.24873071043611414,3,-0.227407429016087,-0.24873071043611414,-0.21901143348770874,-0.23171652431330328,-0.23171652431330328,0.012509598509261435,-0.21901143348770874,COMPLETE
2,-0.2296478425484432,2026-07-09 10:22:38.405998,2026-07-09 10:27:32.619246,0 days 00:04:54.213248,0.1312646604084909,61,40,-0.233212240804306,3,-0.22353300288364894,-0.233212240804306,-0.23219828395737463,-0.2296478425484432,-0.2296478425484432,0.004343614103214475,-0.22353300288364894,COMPLETE
3,-0.22388132896689505,2026-07-09 10:27:32.674758,2026-07-09 10:42:06.665487,0 days 00:14:33.990729,0.012881829201412343,192,59,-0.23725771709577992,3,-0.2062852864575116,-0.22810098334739362,-0.23725771709577992,-0.22388132896689505,-0.22388132896689505,0.012991714724616639,-0.2062852864575116,COMPLETE
4,-0.23845876706776784,2026-07-09 10:42:06.724521,2026-07-09 10:58:53.079806,0 days 00:16:46.355285,0.039727475494958656,217,19,-0.24788209649088816,3,-0.22874986158341087,-0.24788209649088816,-0.2387443431290045,-0.23845876706776784,-0.23845876706776784,0.007813312076355612,-0.22874986158341087,COMPLETE
5,-0.22355812181235102,2026-07-09 10:58:53.139657,2026-07-09 11:05:49.959582,0 days 00:06:56.819925,0.05259391401433528,86,36,-0.23523467626922628,3,-0.20722715374347309,-0.22821253542435377,-0.23523467626922628,-0.22355812181235102,-0.22355812181235102,0.011898263292356027,-0.20722715374347309,COMPLETE
6,-0.23335392122441848,2026-07-09 11:05:50.014956,2026-07-09 11:16:48.796600,0 days 00:10:58.781644,0.05077207962772587,136,41,-0.2352525308809649,3,-0.2352525308809649,-0.23061151367878852,-0.23419771911350204,-0.23335392122441848,-0.23335392122441848,0.0019864132376288465,-0.23061151367878852,COMPLETE
7,-0.23736303852983834,2026-07-09 11:16:48.852174,2026-07-09 11:22:55.184983,0 days 00:06:06.332809,0.05090025079493054,78,28,-0.2494262744353565,3,-0.2494262744353565,-0.22988698135773628,-0.2327758597964223,-0.23736303852983834,-0.23736303852983834,0.008611142008758689,-0.22988698135773628,COMPLETE
8,-0.24877820298777,2026-07-09 11:22:55.241567,2026-07-09 11:34:04.963779,0 days 00:11:09.722212,0.11992463459502188,141,20,-0.2511684464560901,3,-0.24458469357397408,-0.2511684464560901,-0.25058146893324595,-0.24877820298777,-0.24877820298777,0.0029749259437032026,-0.24458469357397408,COMPLETE
9,-0.22237181786831664,2026-07-09 11:34:05.021861,2026-07-09 11:43:15.671124,0 days 00:09:10.649263,0.09293803964068593,153,12,-0.23704842721731695,3,-0.22800313855153728,-0.2020638878360958,-0.23704842721731695,-0.22237181786831664,-0.22237181786831664,0.014827077221691501,-0.2020638878360958,COMPLETE
