number,value,datetime_start,datetime_complete,duration,params_mutation_rate,params_population_size,params_stagnation_k,user_attrs_completed_seed_runs,user_attrs_seed_0_fitness,user_attrs_seed_42_fitness,user_attrs_seed_99_fitness,state
0,,2026-06-14 00:36:07.669367,2026-06-14 00:40:22.730354,0 days 00:04:15.060987,0.1450714306409916,103,25,,,,,FAIL
1,0.020332048245856854,2026-06-14 00:44:46.693321,2026-06-14 00:59:14.892910,0 days 00:14:28.199589,0.09753571532049582,169,50,3.0,0.0191206942196585,0.027077106848343344,0.014798343669568718,COMPLETE
2,0.022951472541914753,2026-06-14 00:59:15.012069,2026-06-14 01:10:07.964650,0 days 00:10:52.952581,0.05780093202212183,180,26,3.0,-0.005821686064743707,0.04096035570230373,0.03371574798818423,COMPLETE
3,0.026502281408428374,2026-06-14 01:10:08.040708,2026-06-14 01:23:22.713849,0 days 00:13:14.673141,0.09330880728874677,152,44,3.0,0.016402485538762994,0.037403605729944236,0.025700752956577894,COMPLETE
4,0.02906112877502051,2026-06-14 01:23:22.813319,2026-06-14 01:48:51.174397,0 days 00:25:28.361078,0.05102922471479013,186,59,3.0,0.019560164723431778,0.03491711232164592,0.03270610927998384,COMPLETE
5,0.022178025755404937,2026-06-14 01:48:51.258474,2026-06-14 02:00:30.337354,0 days 00:11:39.078880,0.06061695553391381,192,27,3.0,0.010592681418950986,0.03133437009448012,0.02460702575278371,COMPLETE
6,0.010985789807403383,2026-06-14 02:00:30.408534,2026-06-14 02:12:59.887441,0 days 00:12:29.478907,0.0652121121479769,159,41,3.0,-0.005503286185679868,0.02856016960443277,0.009900486003457248,COMPLETE
7,0.021862664271626957,2026-06-14 02:12:59.958306,2026-06-14 02:25:18.734617,0 days 00:12:18.776311,0.0645614570099021,172,45,3.0,0.0017202577987641006,0.04020205942120674,0.02366567559491002,COMPLETE
8,0.02688375198656016,2026-06-14 02:25:18.799535,2026-06-14 02:35:33.897712,0 days 00:10:15.098177,0.06460723242676092,157,35,3.0,0.020945602661436143,0.03978229747359169,0.01992335582465265,COMPLETE
9,0.018098509225428622,2026-06-14 02:35:33.973835,2026-06-14 02:44:58.157727,0 days 00:09:24.183892,0.08925879806965069,173,28,3.0,0.00504159109145337,0.03259573554452576,0.016658201040306745,COMPLETE
10,0.02187778830185787,2026-06-14 02:44:58.226337,2026-06-14 02:53:27.417994,0 days 00:08:29.191657,0.07962072844310213,176,21,3.0,0.013795739901039253,0.02797552684161062,0.02386209816292375,COMPLETE
11,0.02435967763083587,2026-06-14 02:53:27.479365,2026-06-14 03:09:32.253745,0 days 00:16:04.774380,0.07794254491287336,198,59,3.0,0.024508262222363325,0.02477843120668239,0.023792339463461896,COMPLETE
12,0.026620988135598284,2026-06-14 03:09:32.323644,2026-06-14 03:19:02.841401,0 days 00:09:30.517757,0.08259332753890893,162,34,3.0,0.028721032536676863,0.02138919614477061,0.02975273572534738,COMPLETE
13,0.016081842573633414,2026-06-14 03:19:02.906823,2026-06-14 03:28:44.948765,0 days 00:09:42.041942,0.07287259612613146,165,36,3.0,0.006821280936568745,0.028563165760011285,0.012861081024320212,COMPLETE
14,0.010904815034274033,2026-06-14 03:28:45.012990,2026-06-14 03:39:49.130046,0 days 00:11:04.117056,0.07223116272206084,162,38,3.0,-0.0011560036074051315,0.0161705080749695,0.01769994063525773,COMPLETE
15,0.03412133802798997,2026-06-14 03:39:49.195269,2026-06-14 03:48:46.381560,0 days 00:08:57.186291,0.0711903572720976,151,42,3.0,0.031346453516754406,0.04531680761063761,0.025700752956577894,COMPLETE
