,,,,,,,,,,,,,,,
population_size,mean_fitness,stdev_fitness,best_fitness,CV,mean_time_s,mean_generations,relative_improvement,population_size,mean_fitness,stdev_fitness,best_fitness,CV,mean_time_s,mean_generations,relative_improvement
50,66942891.31,3490818.22,62529280.08,0.052146212,96.12,166.4,,50,66.94289131,3.49081822,62.52928008,5.21%,96.12,166.4,
100,64418283.36,3067952.06,60993505.47,0.047625486,239.82,176.8,3.77%,100,64.41828336,3.06795206,60.99350547,4.76%,239.82,176.8,3.77%
150,69933712.36,3926340.74,66636907.95,0.056143748,416.58,113.4,-8.56%,150,69.93371236,3.92634074,66.63690795,5.61%,416.58,113.4,-8.56%
200,65840608.22,2474691.44,62983614.1,0.037586096,478.21,157.6,5.85%,200,65.84060822,2.47469144,62.9836141,3.76%,478.21,157.6,5.85%
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
mutation_rate ,0.1,,,,,,,,,,,,,,
stagnation_k,20,,,,,,,,,,,,,,
elite_size ,5,,,,,,,,,,,,,,
tournament_size,3,,,,,,,,,,,,,,
max_generations,200,,,,,,,,,,,,,,
seeds ,"0,7,13,42,99",,,,,,,,,,,,,,
